"","A5.22","A1.21","A2.22","A2.41","A2.72","A4.12","A4.22","A4.25","A4.71","A5.21","A5.31","A5.41","A5.51","A5.12","sbgr","h.lvl","l.lvl","eunis.code.gis","A1.127","A1.223","A2.112","A2.211","A4.231","A4.232","A5.221","A5.222","A5.234","A5.321","A5.322","A5.363","A5.421","A1.111","A1.112","A1.113","A1.121","A1.122","A1.123","A1.124","A1.125","A1.126","A1.151","A1.152","A1.153","A1.211","A1.212","A1.213","A1.214","A1.215","A1.221","A1.222","A1.311","A1.312","A1.313","A1.314","A1.315","A1.321","A1.322","A1.323","A1.324","A1.325","A1.326","A1.327","A1.411","A1.412","A1.413","A1.414","A1.421","A1.441","A1.442","A1.443","A1.444","A1.445","A1.446","A1.447","A1.448","A1.449","A1.44A","A1.451","A1.452","A2.222","A2.223","A2.231","A2.241","A2.242","A2.243","A2.244","A2.245","A2.311","A2.312","A2.313","A2.321","A2.322","A2.323","A2.411","A2.421","A2.431","A2.711","A2.721","A3.111","A3.112","A3.113","A3.115","A3.116","A3.117","A3.121","A3.122","A3.123","A3.124","A3.125","A3.126","A3.127","A3.211","A3.212","A3.213","A3.214","A3.215","A3.216","A3.217","A3.221","A3.222","A3.223","A3.224","A3.225","A3.311","A3.312","A3.313","A3.314","A3.315","A3.321","A3.322","A3.323","A3.341","A3.342","A3.343","A3.344","A3.361","A3.362","A3.363","A3.711","A3.712","A3.713","A3.714","A3.715","A3.716","A4.111","A4.112","A4.121","A4.131","A4.132","A4.133","A4.134","A4.135","A4.136","A4.137","A4.138","A4.139","A4.211","A4.212","A4.213","A4.214","A4.215","A4.221","A4.233","A4.241","A4.242","A4.251","A4.252","A4.311","A4.312","A4.313","A4.314","A4.711","A5.132","A5.133","A5.134","A5.135","A5.136","A5.137","A5.141","A5.142","A5.143","A5.144","A5.145","A5.151","A5.152","A5.231","A5.232","A5.233","A5.241","A5.242","A5.243","A5.244","A5.251","A5.252","A5.261","A5.271","A5.323","A5.325","A5.326","A5.327","A5.331","A5.332","A5.333","A5.334","A5.336","A5.341","A5.342","A5.343","A5.344","A5.354","A5.355","A5.361","A5.362","A5.372","A5.373","A5.374","A5.432","A5.433","A5.434","A5.435","A5.441","A5.442","A5.443","A5.444","A5.445","A5.451","A5.511","A5.512","A5.521","A5.522","A5.523","A5.524","A5.525","A5.526","A5.527","A5.528","A5.611","A5.612","A5.613","A5.621","A5.622","A5.623","A5.624","A5.625","A5.631","B3.111","B3.113","B3.114","B3.115","A5.422","A5.431","A5.262","A5.272","A5.351","A5.352","A5.353","A5.371","A5.375","A5.376","A5.377","A2.111","A2.221","A5.131","A1.2143","A3.2113","A1.1132","A1.1133","A1.2141","A1.2142","A1.3121","A1.3122","A1.3131","A1.3132","A1.3141","A1.3142","A1.3152","A1.4112","A1.4113","A1.4114","A1.4121","A2.2221","A2.2222","A2.2312","A2.4111","A2.4112","A2.4113","A2.4114","A2.4115","A2.6111","A2.7211","A2.7212","A2.7213","A3.1111","A3.1112","A3.1151","A3.1152","A3.1153","A3.1161","A3.2111","A3.2112","A3.2121","A3.2122","A3.2131","A3.2132","A3.2141","A3.2142","A3.2143","A3.2144","A3.3121","A3.3122","A3.3123","A3.3131","A3.3132","A3.3133","A3.3134","A4.1121","A4.1122","A4.1311","A4.1312","A4.1313","A4.1341","A4.1342","A4.1343","A4.2111","A4.2112","A4.2121","A4.2122","A4.2141","A4.2142","A4.2143","A4.2144","A4.2145","A4.2146","A4.2211","A4.2212","A4.2511","A4.2512","A4.3111","A4.3112","A4.3141","A4.3142","A5.3541","A5.3611","A5.3741","A5.4411","A5.5111","A5.5112","A5.5211","A5.5212","A5.5213","A5.5214","A5.5331","A5.5343","A5.7211"
"317","A5.22","A1.21","A2.22","A2.41","A2.72","A4.12","A4.22","A4.25","A4.71","A5.21","A5.31","A5.41","A5.51","A5.12","3b",6,0,NA,"A1.127","A1.223","A2.112","A2.211","A4.231","A4.232","A5.221","A5.222","A5.234","A5.321","A5.322","A5.363","A5.421","A1.111","A1.112","A1.113","A1.121","A1.122","A1.123","A1.124","A1.125","A1.126","A1.151","A1.152","A1.153","A1.211","A1.212","A1.213","A1.214","A1.215","A1.221","A1.222","A1.311","A1.312","A1.313","A1.314","A1.315","A1.321","A1.322","A1.323","A1.324","A1.325","A1.326","A1.327","A1.411","A1.412","A1.413","A1.414","A1.421","A1.441","A1.442","A1.443","A1.444","A1.445","A1.446","A1.447","A1.448","A1.449","A1.44A","A1.451","A1.452","A2.222","A2.223","A2.231","A2.241","A2.242","A2.243","A2.244","A2.245","A2.311","A2.312","A2.313","A2.321","A2.322","A2.323","A2.411","A2.421","A2.431","A2.711","A2.721","A3.111","A3.112","A3.113","A3.115","A3.116","A3.117","A3.121","A3.122","A3.123","A3.124","A3.125","A3.126","A3.127","A3.211","A3.212","A3.213","A3.214","A3.215","A3.216","A3.217","A3.221","A3.222","A3.223","A3.224","A3.225","A3.311","A3.312","A3.313","A3.314","A3.315","A3.321","A3.322","A3.323","A3.341","A3.342","A3.343","A3.344","A3.361","A3.362","A3.363","A3.711","A3.712","A3.713","A3.714","A3.715","A3.716","A4.111","A4.112","A4.121","A4.131","A4.132","A4.133","A4.134","A4.135","A4.136","A4.137","A4.138","A4.139","A4.211","A4.212","A4.213","A4.214","A4.215","A4.221","A4.233","A4.241","A4.242","A4.251","A4.252","A4.311","A4.312","A4.313","A4.314","A4.711","A5.132","A5.133","A5.134","A5.135","A5.136","A5.137","A5.141","A5.142","A5.143","A5.144","A5.145","A5.151","A5.152","A5.231","A5.232","A5.233","A5.241","A5.242","A5.243","A5.244","A5.251","A5.252","A5.261","A5.271","A5.323","A5.325","A5.326","A5.327","A5.331","A5.332","A5.333","A5.334","A5.336","A5.341","A5.342","A5.343","A5.344","A5.354","A5.355","A5.361","A5.362","A5.372","A5.373","A5.374","A5.432","A5.433","A5.434","A5.435","A5.441","A5.442","A5.443","A5.444","A5.445","A5.451","A5.511","A5.512","A5.521","A5.522","A5.523","A5.524","A5.525","A5.526","A5.527","A5.528","A5.611","A5.612","A5.613","A5.621","A5.622","A5.623","A5.624","A5.625","A5.631","B3.111","B3.113","B3.114","B3.115","A5.422","A5.431","A5.262","A5.272","A5.351","A5.352","A5.353","A5.371","A5.375","A5.376","A5.377","A2.111","A2.221","A5.131","A1.2143","A3.2113","A1.1132","A1.1133","A1.2141","A1.2142","A1.3121","A1.3122","A1.3131","A1.3132","A1.3141","A1.3142","A1.3152","A1.4112","A1.4113","A1.4114","A1.4121","A2.2221","A2.2222","A2.2312","A2.4111","A2.4112","A2.4113","A2.4114","A2.4115","A2.6111","A2.7211","A2.7212","A2.7213","A3.1111","A3.1112","A3.1151","A3.1152","A3.1153","A3.1161","A3.2111","A3.2112","A3.2121","A3.2122","A3.2131","A3.2132","A3.2141","A3.2142","A3.2143","A3.2144","A3.3121","A3.3122","A3.3123","A3.3131","A3.3132","A3.3133","A3.3134","A4.1121","A4.1122","A4.1311","A4.1312","A4.1313","A4.1341","A4.1342","A4.1343","A4.2111","A4.2112","A4.2121","A4.2122","A4.2141","A4.2142","A4.2143","A4.2144","A4.2145","A4.2146","A4.2211","A4.2212","A4.2511","A4.2512","A4.3111","A4.3112","A4.3141","A4.3142","A5.3541","A5.3611","A5.3741","A5.4411","A5.5111","A5.5112","A5.5211","A5.5212","A5.5213","A5.5214","A5.5331","A5.5343","A5.7211"
"318","A5.22","A1.21","A2.22","A2.41","A2.72","A4.12","A4.22","A4.25","A4.71","A5.21","A5.31","A5.41","A5.51","A5.12","3b",6,1,"A","A1.127","A1.223","A2.112","A2.211","A4.231","A4.232","A5.221","A5.222","A5.234","A5.321","A5.322","A5.363","A5.421","A1.111","A1.112","A1.113","A1.121","A1.122","A1.123","A1.124","A1.125","A1.126","A1.151","A1.152","A1.153","A1.211","A1.212","A1.213","A1.214","A1.215","A1.221","A1.222","A1.311","A1.312","A1.313","A1.314","A1.315","A1.321","A1.322","A1.323","A1.324","A1.325","A1.326","A1.327","A1.411","A1.412","A1.413","A1.414","A1.421","A1.441","A1.442","A1.443","A1.444","A1.445","A1.446","A1.447","A1.448","A1.449","A1.44A","A1.451","A1.452","A2.222","A2.223","A2.231","A2.241","A2.242","A2.243","A2.244","A2.245","A2.311","A2.312","A2.313","A2.321","A2.322","A2.323","A2.411","A2.421","A2.431","A2.711","A2.721","A3.111","A3.112","A3.113","A3.115","A3.116","A3.117","A3.121","A3.122","A3.123","A3.124","A3.125","A3.126","A3.127","A3.211","A3.212","A3.213","A3.214","A3.215","A3.216","A3.217","A3.221","A3.222","A3.223","A3.224","A3.225","A3.311","A3.312","A3.313","A3.314","A3.315","A3.321","A3.322","A3.323","A3.341","A3.342","A3.343","A3.344","A3.361","A3.362","A3.363","A3.711","A3.712","A3.713","A3.714","A3.715","A3.716","A4.111","A4.112","A4.121","A4.131","A4.132","A4.133","A4.134","A4.135","A4.136","A4.137","A4.138","A4.139","A4.211","A4.212","A4.213","A4.214","A4.215","A4.221","A4.233","A4.241","A4.242","A4.251","A4.252","A4.311","A4.312","A4.313","A4.314","A4.711","A5.132","A5.133","A5.134","A5.135","A5.136","A5.137","A5.141","A5.142","A5.143","A5.144","A5.145","A5.151","A5.152","A5.231","A5.232","A5.233","A5.241","A5.242","A5.243","A5.244","A5.251","A5.252","A5.261","A5.271","A5.323","A5.325","A5.326","A5.327","A5.331","A5.332","A5.333","A5.334","A5.336","A5.341","A5.342","A5.343","A5.344","A5.354","A5.355","A5.361","A5.362","A5.372","A5.373","A5.374","A5.432","A5.433","A5.434","A5.435","A5.441","A5.442","A5.443","A5.444","A5.445","A5.451","A5.511","A5.512","A5.521","A5.522","A5.523","A5.524","A5.525","A5.526","A5.527","A5.528","A5.611","A5.612","A5.613","A5.621","A5.622","A5.623","A5.624","A5.625","A5.631",NA,NA,NA,NA,"A5.422","A5.431","A5.262","A5.272","A5.351","A5.352","A5.353","A5.371","A5.375","A5.376","A5.377","A2.111","A2.221","A5.131","A1.2143","A3.2113","A1.1132","A1.1133","A1.2141","A1.2142","A1.3121","A1.3122","A1.3131","A1.3132","A1.3141","A1.3142","A1.3152","A1.4112","A1.4113","A1.4114","A1.4121","A2.2221","A2.2222","A2.2312","A2.4111","A2.4112","A2.4113","A2.4114","A2.4115","A2.6111","A2.7211","A2.7212","A2.7213","A3.1111","A3.1112","A3.1151","A3.1152","A3.1153","A3.1161","A3.2111","A3.2112","A3.2121","A3.2122","A3.2131","A3.2132","A3.2141","A3.2142","A3.2143","A3.2144","A3.3121","A3.3122","A3.3123","A3.3131","A3.3132","A3.3133","A3.3134","A4.1121","A4.1122","A4.1311","A4.1312","A4.1313","A4.1341","A4.1342","A4.1343","A4.2111","A4.2112","A4.2121","A4.2122","A4.2141","A4.2142","A4.2143","A4.2144","A4.2145","A4.2146","A4.2211","A4.2212","A4.2511","A4.2512","A4.3111","A4.3112","A4.3141","A4.3142","A5.3541","A5.3611","A5.3741","A5.4411","A5.5111","A5.5112","A5.5211","A5.5212","A5.5213","A5.5214","A5.5331","A5.5343","A5.7211"
"319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b",6,1,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3.111","B3.113","B3.114","B3.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",NA,NA,NA,NA,NA,"A4.12","A4.22","A4.25","A4.71",NA,NA,NA,NA,NA,"3b",6,2,"A4",NA,NA,NA,NA,"A4.231","A4.232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4.111","A4.112","A4.121","A4.131","A4.132","A4.133","A4.134","A4.135","A4.136","A4.137","A4.138","A4.139","A4.211","A4.212","A4.213","A4.214","A4.215","A4.221","A4.233","A4.241","A4.242","A4.251","A4.252","A4.311","A4.312","A4.313","A4.314","A4.711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4.1121","A4.1122","A4.1311","A4.1312","A4.1313","A4.1341","A4.1342","A4.1343","A4.2111","A4.2112","A4.2121","A4.2122","A4.2141","A4.2142","A4.2143","A4.2144","A4.2145","A4.2146","A4.2211","A4.2212","A4.2511","A4.2512","A4.3111","A4.3112","A4.3141","A4.3142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",NA,"A1.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b",6,2,"A1","A1.127","A1.223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1.111","A1.112","A1.113","A1.121","A1.122","A1.123","A1.124","A1.125","A1.126","A1.151","A1.152","A1.153","A1.211","A1.212","A1.213","A1.214","A1.215","A1.221","A1.222","A1.311","A1.312","A1.313","A1.314","A1.315","A1.321","A1.322","A1.323","A1.324","A1.325","A1.326","A1.327","A1.411","A1.412","A1.413","A1.414","A1.421","A1.441","A1.442","A1.443","A1.444","A1.445","A1.446","A1.447","A1.448","A1.449","A1.44A","A1.451","A1.452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A1.2143",NA,"A1.1132","A1.1133","A1.2141","A1.2142","A1.3121","A1.3122","A1.3131","A1.3132","A1.3141","A1.3142","A1.3152","A1.4112","A1.4113","A1.4114","A1.4121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","A5.22",NA,NA,NA,NA,NA,NA,NA,NA,"A5.21","A5.31","A5.41","A5.51","A5.12","3b",6,2,"A5",NA,NA,NA,NA,NA,NA,"A5.221","A5.222","A5.234","A5.321","A5.322","A5.363","A5.421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5.132","A5.133","A5.134","A5.135","A5.136","A5.137","A5.141","A5.142","A5.143","A5.144","A5.145","A5.151","A5.152","A5.231","A5.232","A5.233","A5.241","A5.242","A5.243","A5.244","A5.251","A5.252","A5.261","A5.271","A5.323","A5.325","A5.326","A5.327","A5.331","A5.332","A5.333","A5.334","A5.336","A5.341","A5.342","A5.343","A5.344","A5.354","A5.355","A5.361","A5.362","A5.372","A5.373","A5.374","A5.432","A5.433","A5.434","A5.435","A5.441","A5.442","A5.443","A5.444","A5.445","A5.451","A5.511","A5.512","A5.521","A5.522","A5.523","A5.524","A5.525","A5.526","A5.527","A5.528","A5.611","A5.612","A5.613","A5.621","A5.622","A5.623","A5.624","A5.625","A5.631",NA,NA,NA,NA,"A5.422","A5.431","A5.262","A5.272","A5.351","A5.352","A5.353","A5.371","A5.375","A5.376","A5.377",NA,NA,"A5.131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5.3541","A5.3611","A5.3741","A5.4411","A5.5111","A5.5112","A5.5211","A5.5212","A5.5213","A5.5214","A5.5331","A5.5343","A5.7211"
"323",NA,NA,"A2.22","A2.41","A2.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b",6,2,"A2",NA,NA,"A2.112","A2.211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2.222","A2.223","A2.231","A2.241","A2.242","A2.243","A2.244","A2.245","A2.311","A2.312","A2.313","A2.321","A2.322","A2.323","A2.411","A2.421","A2.431","A2.711","A2.721",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2.111","A2.221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A2.2221","A2.2222","A2.2312","A2.4111","A2.4112","A2.4113","A2.4114","A2.4115","A2.6111","A2.7211","A2.7212","A2.7213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b",6,2,"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3.111","A3.112","A3.113","A3.115","A3.116","A3.117","A3.121","A3.122","A3.123","A3.124","A3.125","A3.126","A3.127","A3.211","A3.212","A3.213","A3.214","A3.215","A3.216","A3.217","A3.221","A3.222","A3.223","A3.224","A3.225","A3.311","A3.312","A3.313","A3.314","A3.315","A3.321","A3.322","A3.323","A3.341","A3.342","A3.343","A3.344","A3.361","A3.362","A3.363","A3.711","A3.712","A3.713","A3.714","A3.715","A3.716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3.2113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A3.1111","A3.1112","A3.1151","A3.1152","A3.1153","A3.1161","A3.2111","A3.2112","A3.2121","A3.2122","A3.2131","A3.2132","A3.2141","A3.2142","A3.2143","A3.2144","A3.3121","A3.3122","A3.3123","A3.3131","A3.3132","A3.3133","A3.3134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3b",6,2,"A2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
